countycode,state,amount_1990s,amount_2000s,amount_2010s
13013,GA,0,1111.37,344599.54000000004
13015,GA,0,328344.6,180134.09999999998
13017,GA,79842.38,35905.64,13241.86
13019,GA,0,55053.57000000001,17630.97
13021,GA,1717399.25,239559.66,259850.98
13025,GA,0,382238.31,0
13027,GA,0,155040.57,59678.08
13029,GA,114763.06,108560.41,2296592.57
13031,GA,310235.12,95445.85,336187.06
13035,GA,103261.23,39593.33,263230.38
13037,GA,68022.06,32684.43,0
13039,GA,293150.27,554548.75,5048016.7299999995
13043,GA,0,0,3538.02
13045,GA,43914.29,2924677.5799999996,2024829.63
13047,GA,835210.04,2488231.46,533435.61
13049,GA,7064,275450.43,775521.73
13051,GA,33161779.400000002,1718742.41,42852280.57
13055,GA,276222.44,1123472.57,113693.32
13057,GA,518.04,5513237.09,37928.55
13059,GA,53762.899999999994,32525.549999999996,18804.85
13063,GA,207709.12,748285.75,519538.37
13065,GA,0,0,1099.75
13067,GA,2295945.3099999996,52321649.870000005,984632.6
13069,GA,152949.65999999997,352860.38999999996,89207.37
13071,GA,57135.49,289417.63,118407.84
13073,GA,92589.43000000001,108555.59000000001,434101.2
13075,GA,0,135091.01,0
13077,GA,24458.1,175285.72,128388.72
13079,GA,562.25,0,0
13081,GA,28225.059999999998,28557.79,886769.42
13083,GA,19784.09,86071.78,2840.42
13085,GA,0,4140.86,0
13087,GA,4209775.25,518849.68000000005,66380.66
13089,GA,1895683.8299999998,18912635.12,2615014.3
13091,GA,0,0,0
13093,GA,40565.5,43046.3,182950.86000000002
13095,GA,25800043.440000005,929997.39,687546.8099999999
13097,GA,343801.3,6047707.61,249363.12
13099,GA,216984.36000000002,21020.420000000002,644778.64
13103,GA,141049.91,7862.17,135999.35
13107,GA,14650.91,0,2686.75
13109,GA,0,11330.98,0
13111,GA,86203.59000000001,132987.04,292940.21
13113,GA,243221.3,796895.87,439643.58999999997
13115,GA,1527533.0700000003,57917.71,671076.88
13117,GA,0,70602.95,275845.25
13119,GA,0,0,12218.02
13121,GA,6171173.09,58405242.669999994,6262519.14
13123,GA,225695.44,2751332.72,2057049.08
13127,GA,444487.54,4314694.35,35072723.980000004
13129,GA,230216.38999999998,63310.48,196605.46000000002
13131,GA,14664.880000000001,76804.73,71518.75
13133,GA,0,0,5839.09
13135,GA,190522.43,7710654.569999999,1106847.81
13137,GA,0,0,44173.03
13139,GA,22715.33,50954.65,52960.06999999999
13145,GA,0,0,118019.12000000001
13147,GA,0,0,0
13149,GA,1931.07,0,0
13151,GA,116694.8,63301.95,243345.24
13153,GA,1058629.57,406153.45,16136.04
13155,GA,0,0,1432.34
