countycode,yearofloss,state,amount_paid
01053,2005,AL,9295.48
01053,2008,AL,38554.869999999995
01053,2009,AL,3368135.3499999996
01053,2010,AL,2004.69
01053,2013,AL,27562.23
01053,2014,AL,0
01053,2016,AL,16762.62
01053,2017,AL,1578.37
01055,1979,AL,111627.40000000001
01055,1980,AL,18013.28
01055,1982,AL,16711.5
01055,1983,AL,9798.66
01055,1984,AL,8104.2300000000005
01055,1985,AL,8908
01055,1989,AL,5036.45
01055,1990,AL,37257.93
01055,1991,AL,0
01055,1995,AL,695
01055,1996,AL,7729.41
01055,1997,AL,58003.23
01055,1999,AL,24782.92
01055,2000,AL,12663.39
01055,2001,AL,3003
01055,2002,AL,0
01055,2003,AL,3136.89
01055,2004,AL,230818.83000000002
01055,2005,AL,47111.08
01055,2009,AL,7143.78
01055,2010,AL,1298.02
01055,2011,AL,923.64
01055,2012,AL,12643.75
01055,2013,AL,7132.5
01055,2014,AL,0
01055,2015,AL,28624.24
01055,2016,AL,0
01055,2017,AL,3753.07
01055,2018,AL,2571.8
01055,2019,AL,2899.09
01059,2015,AL,7081.67
01059,2019,AL,45011.56
01061,1978,AL,12718.59
01061,1990,AL,246003.44
01061,1991,AL,185
01061,1994,AL,622069.89
01061,1995,AL,10924.48
01061,1998,AL,1067230.26
01061,2009,AL,425598.07
01061,2010,AL,14735.43
01061,2013,AL,184669.86
01061,2014,AL,857.07
01061,2015,AL,75472.56
01061,2016,AL,36204.55
01061,2017,AL,2897.43
01061,2018,AL,0
01063,1979,AL,7862.950000000001
01063,1980,AL,30550.25
01063,1983,AL,69615.8
01063,1984,AL,0
01063,1990,AL,79440.4
01063,1991,AL,200186.25
01063,2000,AL,1297.84
01063,2004,AL,20176.29
01063,2005,AL,6058.179999999999
01063,2009,AL,16253.25
01063,2010,AL,0
01063,2015,AL,20160.99
01063,2019,AL,299014.93
01065,1978,AL,0
01065,1979,AL,18915.47
01065,1980,AL,33438.020000000004
01065,1983,AL,65809.61
01065,1985,AL,12000
01065,1990,AL,114403.77
01065,1991,AL,157.39
01065,2000,AL,87198.01000000001
01065,2004,AL,2900.66
01065,2006,AL,8916.66
01065,2007,AL,2694.3
01065,2008,AL,7331
01065,2009,AL,94177.01000000001
01065,2011,AL,12940.95
01065,2013,AL,0
01065,2014,AL,0
01065,2015,AL,14607.23
01065,2016,AL,1327.83
01065,2018,AL,10000
01067,1990,AL,33609.04
01067,1994,AL,374554.25
01067,1998,AL,99780.84
01067,2009,AL,0
01067,2018,AL,0
01069,1978,AL,7427.18
01069,1979,AL,26096.88
01069,1982,AL,4398
01069,1983,AL,33194.53
01069,1985,AL,571.95
01069,1989,AL,2606.87
01069,1991,AL,5093
01069,1994,AL,358801.38
01069,1997,AL,27783.489999999998
01069,1998,AL,221130.56
01069,2001,AL,855.73
01069,2004,AL,0
01069,2005,AL,4144.8099999999995
01069,2006,AL,128756.5
01069,2007,AL,150481.94
01069,2008,AL,3211.24
01069,2009,AL,1482618.9
01069,2010,AL,10108.08
01069,2012,AL,12263.85
