state,yearofloss,amount_paid,cum_paid
IA,1981,32234.76,1084882.44
ID,1981,2207.25,192428.46
IL,1981,4248866.96,23015820.099999998
IN,1981,1444260.22,4091280.01
KS,1981,2457467.98,5365152.91
KY,1981,1766256.9799999997,12309760.57
LA,1981,4380500.5,180253599.26000002
MA,1981,382752.2,28075011.98
MD,1981,395121.45,10243921.840000002
ME,1981,77657.74,3921918.78
MI,1981,1485952.79,3563868.48
MN,1981,336129.51,11369452.97
MO,1981,1625692.28,20292893.89
MS,1981,550454.03,34429589.050000004
MT,1981,359161.54,1760470.8
NC,1981,806623.85,5472073.899999999
ND,1981,11365.12,8294294.359999999
NE,1981,20973,1848110.1500000001
NH,1981,153882.39,1465132.6800000002
NJ,1981,2244339.71,24992409.01
NM,1981,34485.49,250757.82
NV,1981,1026.7,97080.66
NY,1981,6098214.38,65715906.76
OH,1981,3872971.26,14648349.74
OK,1981,549654.13,2507100.76
OR,1981,284189.82,1227082.88
PA,1981,3873937.99,25762899.37
PR,1981,4584738.74,12961774.15
RI,1981,51326.49,3152649.4899999998
SC,1981,98833.17,1863069.58
TN,1981,347495.19,3829860.38
TX,1981,58924272.54,318438788.84000003
UT,1981,4555.61,85725.81999999999
VA,1981,320320.81,7765988.5
VI,1981,77541.99,1035960.03
VT,1981,272234.96,398272.30000000005
WA,1981,405467.95,7876827.220000001
WI,1981,70808.57,1466658.0499999998
WV,1981,1068731.18,15606070.72
WY,1981,24438.98,176505.56
AK,1982,631.06,108404.25
AL,1982,530594.88,70392913.46
AR,1982,2291429.9699999997,6098784.24
AZ,1982,112996.69,6610045.69
CA,1982,13386788.450000001,34181366.85
CO,1982,1302479.21,1990818.91
CT,1982,12077350.11,21154545.91
DE,1982,10921.229999999998,758387.47
FL,1982,13144434.879999999,34920863.13
GA,1982,1953933.24,6351238.54
GU,1982,11492.18,11492.18
HI,1982,4289368.86,5739428.9
IA,1982,444780.54,1529662.98
ID,1982,92007.14000000001,284435.60000000003
IL,1982,16144920.05,39160740.15
IN,1982,5379336.07,9470616.08
KS,1982,1554050.54,6919203.449999999
KY,1982,387522.68,12697283.25
LA,1982,37017141.36,217270740.62
MA,1982,2476660.65,30551672.630000003
MD,1982,59423.74,10303345.58
ME,1982,106688.01,4028606.79
MI,1982,1474785.6500000001,5038654.13
MN,1982,106223.29,11475676.26
MO,1982,35775567.9,56068461.79
MS,1982,3774504.88,38204093.93
MT,1982,44836.38,1805307.18
