FIPS,State,County,Wildfire
12033,FL,Escambia,High
12035,FL,Flagler,High
12037,FL,Franklin,High
12039,FL,Gadsden,High
12041,FL,Gilchrist,High
12043,FL,Glades,High
12045,FL,Gulf,High
12047,FL,Hamilton,High
12049,FL,Hardee,High
12051,FL,Hendry,High
12053,FL,Hernando,Medium
12055,FL,Highlands,High
12057,FL,NA,Low
12059,FL,Holmes,Medium
12061,FL,Indian River,Medium
12063,FL,Jackson,Medium
12065,FL,Jefferson,Medium
12067,FL,Lafayette,High
12069,FL,Lake,High
12071,FL,Lee,Medium
12073,FL,Leon,Medium
12075,FL,Levy,High
12077,FL,Liberty,High
12079,FL,Madison,High
12081,FL,Manatee,Medium
12083,FL,Marion,High
12085,FL,Martin,Medium
12087,FL,Monroe,Medium
12089,FL,Nassau,High
12091,FL,Okaloosa,High
12093,FL,Okeechobee,High
12095,FL,Orange,Medium
12097,FL,Osceola,High
12099,FL,NA,Low
12101,FL,Pasco,Medium
12103,FL,NA,Low
12105,FL,Polk,High
12107,FL,Putnam,High
12109,FL,St. Johns,High
12111,FL,NA,Low
12113,FL,Santa Rosa,High
12115,FL,Sarasota,High
12117,FL,Seminole,Medium
12119,FL,Sumter,Medium
12121,FL,Suwannee,High
12123,FL,Taylor,High
12125,FL,Union,High
12127,FL,Volusia,High
12129,FL,Wakulla,High
12131,FL,Walton,High
12133,FL,Washington,High
13001,GA,Appling,High
13003,GA,Atkinson,High
13005,GA,Bacon,High
13007,GA,Baker,Medium
13009,GA,Baldwin,Medium
13011,GA,Banks,Medium
13013,GA,NA,Low
13015,GA,Bartow,Medium
13017,GA,Ben Hill,High
13019,GA,Berrien,High
13021,GA,NA,Low
13023,GA,Bleckley,High
13025,GA,Brantley,High
13027,GA,Brooks,High
13029,GA,Bryan,High
13031,GA,Bulloch,Medium
13033,GA,Burke,High
13035,GA,Butts,Medium
13037,GA,NA,Low
13039,GA,Camden,High
13043,GA,Candler,High
13045,GA,Carroll,Medium
13047,GA,Catoosa,Medium
13049,GA,Charlton,High
13051,GA,Chatham,High
13053,GA,Chattahoochee,High
13055,GA,Chattooga,High
13057,GA,NA,Low
13059,GA,NA,Low
13061,GA,Clay,Medium
13063,GA,NA,Low
13065,GA,Clinch,High
13067,GA,NA,Low
13069,GA,Coffee,High
13071,GA,Colquitt,Medium
13073,GA,Columbia,Medium
13075,GA,NA,Low
13077,GA,Coweta,Medium
13079,GA,Crawford,High
13081,GA,NA,Low
13083,GA,Dade,High
13085,GA,NA,Low
13087,GA,Decatur,High
13089,GA,NA,Low
13091,GA,Dodge,High
13093,GA,NA,Low
13095,GA,Dougherty,Medium
13097,GA,NA,Low
13099,GA,Early,Medium
13101,GA,Echols,High
13103,GA,Effingham,High
13105,GA,Elbert,Medium
13107,GA,Emanuel,High
13109,GA,Evans,High
13111,GA,NA,Low
13113,GA,NA,Low
13115,GA,Floyd,High
13117,GA,NA,Low
13119,GA,Franklin,Medium
13121,GA,NA,Low
13123,GA,NA,Low
13125,GA,Glascock,High
13127,GA,Glynn,High
13129,GA,Gordon,Medium
13131,GA,Grady,High
13133,GA,Greene,Medium
13135,GA,NA,Low
13137,GA,Habersham,Medium
13139,GA,NA,Low
13141,GA,Hancock,High
13143,GA,Haralson,Medium
13145,GA,Harris,Medium
13147,GA,Hart,Medium
13149,GA,Heard,Medium
13151,GA,NA,Low
13153,GA,Houston,Medium
13155,GA,NA,Low
13157,GA,NA,Low
13159,GA,Jasper,Medium
13161,GA,Jeff Davis,High
13163,GA,Jefferson,High
13165,GA,Jenkins,High
13167,GA,Johnson,High
13169,GA,Jones,Medium
13171,GA,Lamar,Medium
13173,GA,Lanier,High
13175,GA,Laurens,High
13177,GA,Lee,Medium
13179,GA,Liberty,High
13181,GA,NA,Low
13183,GA,Long,High
13185,GA,Lowndes,High
13187,GA,NA,Low
13189,GA,McDuffie,High
13191,GA,McIntosh,High
13193,GA,Macon,High
13195,GA,NA,Low
13197,GA,Marion,High
13199,GA,Meriwether,Medium
13201,GA,NA,Low
13205,GA,Mitchell,Medium
13207,GA,Monroe,Medium
13209,GA,Montgomery,High
13211,GA,NA,Low
13213,GA,Murray,Medium
13215,GA,NA,Low
13217,GA,Newton,Medium
13219,GA,NA,Low
13221,GA,Oglethorpe,Medium
13223,GA,NA,Low
13225,GA,Peach,Medium
13227,GA,NA,Low
13229,GA,Pierce,High
13231,GA,Pike,Medium
13233,GA,Polk,High
13235,GA,NA,Low
13237,GA,NA,Low
13239,GA,Quitman,High
13241,GA,NA,Low
13243,GA,Randolph,High
13245,GA,Richmond,Medium
13247,GA,NA,Low
13249,GA,Schley,High
13251,GA,Screven,High
13253,GA,NA,Low
13255,GA,Spalding,Medium
13257,GA,NA,Low
13259,GA,Stewart,High
13261,GA,Sumter,Medium
13263,GA,Talbot,High
13265,GA,Taliaferro,Medium
13267,GA,Tattnall,High
13269,GA,Taylor,High
13271,GA,Telfair,High
13273,GA,NA,Low
13275,GA,Thomas,High
13277,GA,NA,Low
13279,GA,Toombs,High
13281,GA,NA,Low
13283,GA,Treutlen,High
13285,GA,NA,Low
13287,GA,Turner,Medium
13289,GA,Twiggs,High
13291,GA,NA,Low
13293,GA,Upson,High
13295,GA,Walker,High
13297,GA,NA,Low
13299,GA,Ware,High
13301,GA,Warren,High
13303,GA,Washington,High
13305,GA,Wayne,High
13307,GA,Webster,High
13309,GA,Wheeler,High
13311,GA,White,Medium
13313,GA,Whitfield,Medium
13315,GA,Wilcox,High
13317,GA,Wilkes,Medium
13319,GA,Wilkinson,High
13321,GA,Worth,Medium
15001,HI,NA,NA
15003,HI,NA,NA
15007,HI,NA,NA
15009,HI,NA,NA
16001,ID,Ada,High
16003,ID,Adams,High
16005,ID,Bannock,High
16007,ID,Bear Lake,Medium
16009,ID,Benewah,High
16011,ID,Bingham,Medium
16013,ID,Blaine,High
16015,ID,Boise,High
16017,ID,Bonner,High
16019,ID,NA,Low
16021,ID,Boundary,High
16023,ID,Butte,Medium
16025,ID,Camas,High
16027,ID,NA,Low
16029,ID,Caribou,Medium
16031,ID,Cassia,High
16033,ID,Clark,Medium
16035,ID,Clearwater,High
16037,ID,Custer,High
16039,ID,Elmore,High
16041,ID,Franklin,Medium
16043,ID,Fremont,Medium
16045,ID,Gem,High
16047,ID,Gooding,High
16049,ID,Idaho,High
16051,ID,NA,Low
16053,ID,Jerome,Medium
16055,ID,Kootenai,High
16057,ID,Latah,Medium
16059,ID,Lemhi,High
16061,ID,NA,Low
16063,ID,Lincoln,High
16065,ID,NA,Low
16067,ID,NA,Low
16069,ID,NA,Low
16071,ID,Oneida,High
16073,ID,Owyhee,High
16075,ID,Payette,High
16077,ID,Power,High
16079,ID,Shoshone,High
16081,ID,NA,Low
16083,ID,Twin Falls,High
16085,ID,Valley,High
16087,ID,Washington,High
17001,IL,NA,Low
17003,IL,NA,Low
17005,IL,NA,Low
17007,IL,NA,Low
17009,IL,NA,Low
17011,IL,NA,Low
17013,IL,NA,Low
17015,IL,NA,Low
17017,IL,NA,Low
17019,IL,NA,Low
17021,IL,NA,Low
17023,IL,NA,Low
17025,IL,NA,Low
17027,IL,NA,Low
17029,IL,NA,Low
17031,IL,NA,Low
17033,IL,NA,Low
17035,IL,NA,Low
17037,IL,NA,Low
17039,IL,NA,Low
17041,IL,NA,Low
17043,IL,NA,Low
17045,IL,NA,Low
17047,IL,NA,Low
17049,IL,NA,Low
17051,IL,NA,Low
17053,IL,NA,Low
17055,IL,NA,Low
17057,IL,NA,Low
17059,IL,NA,Low
17061,IL,NA,Low
17063,IL,NA,Low
17065,IL,NA,Low
17067,IL,NA,Low
17069,IL,NA,Low
17071,IL,NA,Low
17073,IL,NA,Low
17075,IL,NA,Low
17077,IL,NA,Low
17079,IL,NA,Low
17081,IL,NA,Low
17083,IL,NA,Low
17085,IL,NA,Low
17087,IL,NA,Low
17089,IL,NA,Low
17091,IL,NA,Low
17093,IL,NA,Low
17095,IL,NA,Low
17097,IL,NA,Low
17099,IL,NA,Low
17101,IL,NA,Low
17103,IL,NA,Low
17105,IL,NA,Low
17107,IL,NA,Low
17109,IL,NA,Low
17111,IL,NA,Low
17113,IL,NA,Low
17115,IL,NA,Low
17117,IL,NA,Low
17119,IL,NA,Low
17121,IL,NA,Low
17123,IL,NA,Low
17125,IL,NA,Low
17127,IL,NA,Low
17129,IL,NA,Low
17131,IL,NA,Low
17133,IL,NA,Low
17135,IL,NA,Low
17137,IL,NA,Low
17139,IL,NA,Low
17141,IL,NA,Low
17143,IL,NA,Low
17145,IL,NA,Low
17147,IL,NA,Low
17149,IL,NA,Low
17151,IL,NA,Low
17153,IL,NA,Low
17155,IL,NA,Low
17157,IL,NA,Low
17159,IL,NA,Low
17161,IL,NA,Low
17163,IL,NA,Low
17165,IL,NA,Low
17167,IL,NA,Low
17169,IL,NA,Low
17171,IL,NA,Low
17173,IL,NA,Low
17175,IL,NA,Low
17177,IL,NA,Low
17179,IL,NA,Low
17181,IL,NA,Low
17183,IL,NA,Low
17185,IL,NA,Low
17187,IL,NA,Low
17189,IL,NA,Low
17191,IL,NA,Low
17193,IL,NA,Low
17195,IL,NA,Low
17197,IL,NA,Low
17199,IL,NA,Low
17201,IL,NA,Low
17203,IL,NA,Low
18001,IN,NA,Low
18003,IN,NA,Low
18005,IN,NA,Low
18007,IN,NA,Low
18009,IN,NA,Low
18011,IN,NA,Low
18013,IN,NA,Low
18015,IN,NA,Low
18017,IN,NA,Low
18019,IN,NA,Low
18021,IN,NA,Low
18023,IN,NA,Low
18025,IN,NA,Low
18027,IN,NA,Low
18029,IN,NA,Low
18031,IN,NA,Low
18033,IN,NA,Low
18035,IN,NA,Low
18037,IN,NA,Low
18039,IN,NA,Low
18041,IN,NA,Low
18043,IN,NA,Low
18045,IN,NA,Low
18047,IN,NA,Low
18049,IN,NA,Low
